zawodnik,pozycja,nr_okrazenia,czas_okr_s,czas_kum_s,dystans_m,predkosc_kmh,tempo_min_km,godzina_biegu
SZYSZKOWSKI Marcin,8,77,768,48540,1725,8.086,7.42,13.4834
SZYSZKOWSKI Marcin,8,78,764,49304,1725,8.128,7.382,13.6957
SZYSZKOWSKI Marcin,8,79,799,50104,1725,7.772,7.72,13.9177
SZYSZKOWSKI Marcin,8,80,757,50861,1725,8.203,7.314,14.1281
SZYSZKOWSKI Marcin,8,81,1011,51873,1725,6.142,9.768,14.4092
SZYSZKOWSKI Marcin,8,82,672,52545,1725,9.241,6.493,14.5959
SZYSZKOWSKI Marcin,8,83,739,53285,1725,8.403,7.14,14.8013
SZYSZKOWSKI Marcin,8,84,755,54041,1725,8.225,7.295,15.0113
SZYSZKOWSKI Marcin,8,85,837,54878,1725,7.419,8.087,15.244
SZYSZKOWSKI Marcin,8,86,798,55677,1725,7.782,7.71,15.4657
SZYSZKOWSKI Marcin,8,87,894,56571,1725,6.946,8.638,15.7142
SZYSZKOWSKI Marcin,8,88,917,57489,1725,6.772,8.86,15.969
SZYSZKOWSKI Marcin,8,89,837,58326,1725,7.419,8.087,16.2018
SZYSZKOWSKI Marcin,8,90,681,59007,1725,9.119,6.58,16.391
SZYSZKOWSKI Marcin,8,91,691,59699,1725,8.987,6.676,16.5831
SZYSZKOWSKI Marcin,8,92,729,60428,1725,8.519,7.043,16.7857
SZYSZKOWSKI Marcin,8,93,709,61138,1725,8.759,6.85,16.9827
SZYSZKOWSKI Marcin,8,94,916,62054,1725,6.779,8.85,17.2373
SZYSZKOWSKI Marcin,8,95,780,62835,1725,7.962,7.536,17.454
SZYSZKOWSKI Marcin,8,96,820,63655,1725,7.573,7.923,17.6819
SZYSZKOWSKI Marcin,8,97,890,64545,1725,6.978,8.599,17.9292
SZYSZKOWSKI Marcin,8,98,661,65207,1725,9.395,6.386,18.113
SZYSZKOWSKI Marcin,8,99,676,65883,1725,9.186,6.531,18.3009
SZYSZKOWSKI Marcin,8,100,796,66680,1725,7.802,7.691,18.5222
SZYSZKOWSKI Marcin,8,101,800,67481,1725,7.763,7.729,18.7446
SZYSZKOWSKI Marcin,8,102,776,68257,1725,8.003,7.498,18.9603
SZYSZKOWSKI Marcin,8,103,796,69054,1725,7.802,7.691,19.1817
SZYSZKOWSKI Marcin,8,104,798,69852,1725,7.782,7.71,19.4034
SZYSZKOWSKI Marcin,8,105,831,70684,1725,7.473,8.029,19.6343
SZYSZKOWSKI Marcin,8,106,819,71503,1725,7.582,7.913,19.8621
SZYSZKOWSKI Marcin,8,107,869,72373,1725,7.146,8.396,20.1037
SZYSZKOWSKI Marcin,8,108,835,73209,1725,7.437,8.068,20.3358
SZYSZKOWSKI Marcin,8,109,820,74030,1725,7.573,7.923,20.5639
SZYSZKOWSKI Marcin,8,110,859,74890,1725,7.229,8.3,20.8027
SZYSZKOWSKI Marcin,8,111,845,75735,1725,7.349,8.164,21.0375
SZYSZKOWSKI Marcin,8,112,864,76600,1725,7.188,8.348,21.2777
SZYSZKOWSKI Marcin,8,113,863,77463,1725,7.196,8.338,21.5176
SZYSZKOWSKI Marcin,8,114,865,78329,1725,7.179,8.357,21.758
SZYSZKOWSKI Marcin,8,115,927,79257,1725,6.699,8.957,22.0158
SZYSZKOWSKI Marcin,8,116,886,80144,1725,7.009,8.56,22.2622
SZYSZKOWSKI Marcin,8,117,863,81007,1725,7.196,8.338,22.502
SZYSZKOWSKI Marcin,8,118,920,81928,1725,6.75,8.889,22.7577
SZYSZKOWSKI Marcin,8,119,874,82803,1725,7.105,8.444,23.0007
SZYSZKOWSKI Marcin,8,120,902,83705,1725,6.885,8.715,23.2514
SZYSZKOWSKI Marcin,8,121,887,84592,1725,7.001,8.57,23.4978
SZYSZKOWSKI Marcin,8,122,833,85426,1725,7.455,8.048,23.7294
SZYSZKOWSKI Marcin,8,123,785,86211,1725,7.911,7.585,23.9476
