zawodnik,pozycja,nr_okrazenia,czas_okr_s,czas_kum_s,dystans_m,predkosc_kmh,tempo_min_km,godzina_biegu
BEREZNOWSKA Patrycja,6,77,553,43132,1725,11.23,5.343,11.9812
BEREZNOWSKA Patrycja,6,78,560,43693,1725,11.089,5.411,12.1368
BEREZNOWSKA Patrycja,6,79,548,44241,1725,11.332,5.295,12.2892
BEREZNOWSKA Patrycja,6,80,552,44794,1725,11.25,5.333,12.4428
BEREZNOWSKA Patrycja,6,81,559,45354,1725,11.109,5.401,12.5983
BEREZNOWSKA Patrycja,6,82,559,45913,1725,11.109,5.401,12.7536
BEREZNOWSKA Patrycja,6,83,561,46474,1725,11.07,5.42,12.9095
BEREZNOWSKA Patrycja,6,84,559,47034,1725,11.109,5.401,13.065
BEREZNOWSKA Patrycja,6,85,560,47594,1725,11.089,5.411,13.2206
BEREZNOWSKA Patrycja,6,86,564,48159,1725,11.011,5.449,13.3774
BEREZNOWSKA Patrycja,6,87,576,48735,1725,10.781,5.565,13.5375
BEREZNOWSKA Patrycja,6,88,635,49370,1725,9.78,6.135,13.714
BEREZNOWSKA Patrycja,6,89,568,49939,1725,10.933,5.488,13.8719
BEREZNOWSKA Patrycja,6,90,569,50508,1725,10.914,5.498,14.0301
BEREZNOWSKA Patrycja,6,91,558,51067,1725,11.129,5.391,14.1853
BEREZNOWSKA Patrycja,6,92,554,51621,1725,11.209,5.353,14.3392
BEREZNOWSKA Patrycja,6,93,556,52178,1725,11.169,5.372,14.4939
BEREZNOWSKA Patrycja,6,94,565,52744,1725,10.991,5.459,14.6511
BEREZNOWSKA Patrycja,6,95,562,53306,1725,11.05,5.43,14.8073
BEREZNOWSKA Patrycja,6,96,564,53871,1725,11.011,5.449,14.9642
BEREZNOWSKA Patrycja,6,97,579,54450,1725,10.725,5.594,15.125
BEREZNOWSKA Patrycja,6,98,570,55020,1725,10.895,5.507,15.2834
BEREZNOWSKA Patrycja,6,99,581,55602,1725,10.688,5.614,15.4449
BEREZNOWSKA Patrycja,6,100,572,56174,1725,10.857,5.527,15.6038
BEREZNOWSKA Patrycja,6,101,572,56747,1725,10.857,5.527,15.763
BEREZNOWSKA Patrycja,6,102,574,57321,1725,10.819,5.546,15.9224
BEREZNOWSKA Patrycja,6,103,572,57893,1725,10.857,5.527,16.0813
BEREZNOWSKA Patrycja,6,104,584,58477,1725,10.634,5.643,16.2436
BEREZNOWSKA Patrycja,6,105,620,59098,1725,10.016,5.99,16.416
BEREZNOWSKA Patrycja,6,106,615,59713,1725,10.098,5.942,16.5869
BEREZNOWSKA Patrycja,6,107,626,60339,1725,9.92,6.048,16.7609
BEREZNOWSKA Patrycja,6,108,627,60967,1725,9.904,6.058,16.9352
BEREZNOWSKA Patrycja,6,109,642,61609,1725,9.673,6.203,17.1136
BEREZNOWSKA Patrycja,6,110,1450,63060,1725,4.283,14.01,17.5167
BEREZNOWSKA Patrycja,6,111,641,63702,1725,9.688,6.193,17.6949
BEREZNOWSKA Patrycja,6,112,664,64366,1725,9.352,6.415,17.8794
BEREZNOWSKA Patrycja,6,113,622,64988,1725,9.984,6.01,18.0522
BEREZNOWSKA Patrycja,6,114,637,65625,1725,9.749,6.155,18.2292
BEREZNOWSKA Patrycja,6,115,636,66262,1725,9.764,6.145,18.4061
BEREZNOWSKA Patrycja,6,116,642,66904,1725,9.673,6.203,18.5845
BEREZNOWSKA Patrycja,6,117,649,67554,1725,9.569,6.271,18.765
BEREZNOWSKA Patrycja,6,118,665,68220,1725,9.338,6.425,18.9499
BEREZNOWSKA Patrycja,6,119,680,68900,1725,9.132,6.57,19.1388
BEREZNOWSKA Patrycja,6,120,681,69581,1725,9.119,6.58,19.3281
BEREZNOWSKA Patrycja,6,121,678,70259,1725,9.159,6.551,19.5165
BEREZNOWSKA Patrycja,6,122,1514,71774,1725,4.102,14.628,19.9372
BEREZNOWSKA Patrycja,6,123,689,72463,1725,9.013,6.657,20.1286
BEREZNOWSKA Patrycja,6,124,817,73280,1725,7.601,7.894,20.3557
BEREZNOWSKA Patrycja,6,125,688,73968,1725,9.026,6.647,20.5468
BEREZNOWSKA Patrycja,6,126,735,74704,1725,8.449,7.101,20.7511
BEREZNOWSKA Patrycja,6,127,816,75520,1725,7.61,7.884,20.9778
BEREZNOWSKA Patrycja,6,128,1137,76658,1725,5.462,10.986,21.2938
BEREZNOWSKA Patrycja,6,129,869,77527,1725,7.146,8.396,21.5353
BEREZNOWSKA Patrycja,6,130,792,78320,1725,7.841,7.652,21.7555
BEREZNOWSKA Patrycja,6,131,755,79075,1725,8.225,7.295,21.9653
BEREZNOWSKA Patrycja,6,132,2740,81815,1725,2.266,26.473,22.7265
BEREZNOWSKA Patrycja,6,133,1076,82892,1725,5.771,10.396,23.0256
BEREZNOWSKA Patrycja,6,134,1998,84891,1725,3.108,19.304,23.5809
BEREZNOWSKA Patrycja,6,135,1196,86087,1725,5.192,11.556,23.9131
