zawodnik,pozycja,nr_okrazenia,czas_okr_s,czas_kum_s,dystans_m,predkosc_kmh,tempo_min_km,godzina_biegu
VACE-VECVAGARE Sigita,7,77,655,47555,1725,9.481,6.329,13.2098
VACE-VECVAGARE Sigita,7,78,679,48234,1725,9.146,6.56,13.3984
VACE-VECVAGARE Sigita,7,79,749,48983,1725,8.291,7.237,13.6065
VACE-VECVAGARE Sigita,7,80,678,49662,1725,9.159,6.551,13.7949
VACE-VECVAGARE Sigita,7,81,673,50335,1725,9.227,6.502,13.982
VACE-VECVAGARE Sigita,7,82,737,51073,1725,8.426,7.121,14.1869
VACE-VECVAGARE Sigita,7,83,670,51743,1725,9.269,6.473,14.3732
VACE-VECVAGARE Sigita,7,84,749,52493,1725,8.291,7.237,14.5813
VACE-VECVAGARE Sigita,7,85,680,53173,1725,9.132,6.57,14.7704
VACE-VECVAGARE Sigita,7,86,791,53965,1725,7.851,7.643,14.9904
VACE-VECVAGARE Sigita,7,87,719,54685,1725,8.637,6.947,15.1903
VACE-VECVAGARE Sigita,7,88,723,55408,1725,8.589,6.986,15.3912
VACE-VECVAGARE Sigita,7,89,676,56084,1725,9.186,6.531,15.579
VACE-VECVAGARE Sigita,7,90,713,56798,1725,8.71,6.889,15.7772
VACE-VECVAGARE Sigita,7,91,701,57499,1725,8.859,6.773,15.9719
VACE-VECVAGARE Sigita,7,92,766,58265,1725,8.107,7.401,16.1848
VACE-VECVAGARE Sigita,7,93,714,58980,1725,8.697,6.899,16.3833
VACE-VECVAGARE Sigita,7,94,740,59720,1725,8.392,7.15,16.589
VACE-VECVAGARE Sigita,7,95,698,60419,1725,8.897,6.744,16.7831
VACE-VECVAGARE Sigita,7,96,730,61150,1725,8.507,7.053,16.9861
VACE-VECVAGARE Sigita,7,97,742,61893,1725,8.369,7.169,17.1925
VACE-VECVAGARE Sigita,7,98,666,62560,1725,9.324,6.435,17.3777
VACE-VECVAGARE Sigita,7,99,646,63207,1725,9.613,6.242,17.5574
VACE-VECVAGARE Sigita,7,100,683,63890,1725,9.092,6.599,17.7473
VACE-VECVAGARE Sigita,7,101,685,64576,1725,9.066,6.618,17.9377
VACE-VECVAGARE Sigita,7,102,691,65267,1725,8.987,6.676,18.1297
VACE-VECVAGARE Sigita,7,103,668,65936,1725,9.296,6.454,18.3155
VACE-VECVAGARE Sigita,7,104,792,66728,1725,7.841,7.652,18.5355
VACE-VECVAGARE Sigita,7,105,926,67654,1725,6.706,8.947,18.7929
VACE-VECVAGARE Sigita,7,106,734,68389,1725,8.46,7.092,18.997
VACE-VECVAGARE Sigita,7,107,730,69120,1725,8.507,7.053,19.2001
VACE-VECVAGARE Sigita,7,108,937,70058,1725,6.628,9.053,19.4605
VACE-VECVAGARE Sigita,7,109,1716,71775,1725,3.619,16.58,19.9374
VACE-VECVAGARE Sigita,7,110,844,72619,1725,7.358,8.155,20.1718
VACE-VECVAGARE Sigita,7,111,1082,73701,1725,5.739,10.454,20.4725
VACE-VECVAGARE Sigita,7,112,827,74528,1725,7.509,7.99,20.7023
VACE-VECVAGARE Sigita,7,113,966,75494,1725,6.429,9.333,20.9706
VACE-VECVAGARE Sigita,7,114,860,76355,1725,7.221,8.309,21.2096
VACE-VECVAGARE Sigita,7,115,923,77278,1725,6.728,8.918,21.4661
VACE-VECVAGARE Sigita,7,116,799,78078,1725,7.772,7.72,21.6882
VACE-VECVAGARE Sigita,7,117,969,79047,1725,6.409,9.362,21.9575
VACE-VECVAGARE Sigita,7,118,811,79858,1725,7.657,7.836,22.1828
VACE-VECVAGARE Sigita,7,119,793,80651,1725,7.831,7.662,22.4032
VACE-VECVAGARE Sigita,7,120,879,81531,1725,7.065,8.493,22.6474
VACE-VECVAGARE Sigita,7,121,891,82422,1725,6.97,8.609,22.8951
VACE-VECVAGARE Sigita,7,122,1137,83560,1725,5.462,10.986,23.211
VACE-VECVAGARE Sigita,7,123,1329,84889,1725,4.673,12.841,23.5802
VACE-VECVAGARE Sigita,7,124,1096,85985,1725,5.666,10.589,23.8848
