zawodnik,pozycja,nr_okrazenia,czas_okr_s,czas_kum_s,dystans_m,predkosc_kmh,tempo_min_km,godzina_biegu
SCEGAUSKAS Tadas,5,79,518,39853,1725,11.988,5.005,11.0703
SCEGAUSKAS Tadas,5,80,511,40364,1725,12.153,4.937,11.2123
SCEGAUSKAS Tadas,5,81,551,40916,1725,11.27,5.324,11.3655
SCEGAUSKAS Tadas,5,82,509,41426,1725,12.2,4.918,11.5072
SCEGAUSKAS Tadas,5,83,516,41942,1725,12.035,4.986,11.6507
SCEGAUSKAS Tadas,5,84,524,42467,1725,11.851,5.063,11.7963
SCEGAUSKAS Tadas,5,85,519,42986,1725,11.965,5.014,11.9406
SCEGAUSKAS Tadas,5,86,585,43572,1725,10.615,5.652,12.1033
SCEGAUSKAS Tadas,5,87,566,44139,1725,10.972,5.469,12.2608
SCEGAUSKAS Tadas,5,88,561,44700,1725,11.07,5.42,12.4168
SCEGAUSKAS Tadas,5,89,539,45240,1725,11.521,5.208,12.5666
SCEGAUSKAS Tadas,5,90,568,45809,1725,10.933,5.488,12.7246
SCEGAUSKAS Tadas,5,91,535,46344,1725,11.607,5.169,12.8734
SCEGAUSKAS Tadas,5,92,543,46888,1725,11.436,5.246,13.0244
SCEGAUSKAS Tadas,5,93,552,47440,1725,11.25,5.333,13.1778
SCEGAUSKAS Tadas,5,94,565,48005,1725,10.991,5.459,13.3348
SCEGAUSKAS Tadas,5,95,557,48562,1725,11.149,5.382,13.4895
SCEGAUSKAS Tadas,5,96,583,49145,1725,10.652,5.633,13.6515
SCEGAUSKAS Tadas,5,97,547,49693,1725,11.353,5.285,13.8035
SCEGAUSKAS Tadas,5,98,566,50259,1725,10.972,5.469,13.9609
SCEGAUSKAS Tadas,5,99,583,50843,1725,10.652,5.633,14.1231
SCEGAUSKAS Tadas,5,100,595,51439,1725,10.437,5.749,14.2886
SCEGAUSKAS Tadas,5,101,555,51995,1725,11.189,5.362,14.4431
SCEGAUSKAS Tadas,5,102,556,52551,1725,11.169,5.372,14.5976
SCEGAUSKAS Tadas,5,103,589,53141,1725,10.543,5.691,14.7613
SCEGAUSKAS Tadas,5,104,592,53734,1725,10.49,5.72,14.926
SCEGAUSKAS Tadas,5,105,598,54332,1725,10.385,5.778,15.0923
SCEGAUSKAS Tadas,5,106,574,54907,1725,10.819,5.546,15.2518
SCEGAUSKAS Tadas,5,107,584,55491,1725,10.634,5.643,15.4142
SCEGAUSKAS Tadas,5,108,580,56071,1725,10.707,5.604,15.5754
SCEGAUSKAS Tadas,5,109,624,56696,1725,9.952,6.029,15.7489
SCEGAUSKAS Tadas,5,110,610,57307,1725,10.18,5.894,15.9185
SCEGAUSKAS Tadas,5,111,627,57935,1725,9.904,6.058,16.0929
SCEGAUSKAS Tadas,5,112,608,58543,1725,10.214,5.874,16.2619
SCEGAUSKAS Tadas,5,113,646,59190,1725,9.613,6.242,16.4416
SCEGAUSKAS Tadas,5,114,614,59804,1725,10.114,5.932,16.6124
SCEGAUSKAS Tadas,5,115,632,60437,1725,9.826,6.106,16.7882
SCEGAUSKAS Tadas,5,116,749,61187,1725,8.291,7.237,16.9965
SCEGAUSKAS Tadas,5,117,903,62091,1725,6.877,8.725,17.2474
SCEGAUSKAS Tadas,5,118,1127,63218,1725,5.51,10.889,17.5605
SCEGAUSKAS Tadas,5,119,1068,64287,1725,5.815,10.319,17.8574
SCEGAUSKAS Tadas,5,120,1067,65354,1725,5.82,10.309,18.1539
SCEGAUSKAS Tadas,5,121,1141,66495,1725,5.443,11.024,18.4709
SCEGAUSKAS Tadas,5,122,1144,67640,1725,5.428,11.053,18.7889
SCEGAUSKAS Tadas,5,123,1236,68876,1725,5.024,11.942,19.1323
SCEGAUSKAS Tadas,5,124,1156,70033,1725,5.372,11.169,19.4535
SCEGAUSKAS Tadas,5,125,1130,71163,1725,5.496,10.918,19.7676
SCEGAUSKAS Tadas,5,126,1167,72331,1725,5.321,11.275,20.092
SCEGAUSKAS Tadas,5,127,1209,73541,1725,5.136,11.681,20.4281
SCEGAUSKAS Tadas,5,128,1256,74797,1725,4.944,12.135,20.777
SCEGAUSKAS Tadas,5,129,1374,76171,1725,4.52,13.275,21.1587
SCEGAUSKAS Tadas,5,130,1302,77474,1725,4.77,12.58,21.5206
SCEGAUSKAS Tadas,5,131,1335,78809,1725,4.652,12.899,21.8914
SCEGAUSKAS Tadas,5,132,1792,80602,1725,3.465,17.314,22.3894
SCEGAUSKAS Tadas,5,133,1440,82043,1725,4.312,13.913,22.7896
SCEGAUSKAS Tadas,5,134,947,82990,1725,6.558,9.15,23.0528
SCEGAUSKAS Tadas,5,135,643,83633,1725,9.658,6.213,23.2315
SCEGAUSKAS Tadas,5,136,550,84184,1725,11.291,5.314,23.3845
SCEGAUSKAS Tadas,5,137,561,84746,1725,11.07,5.42,23.5405
SCEGAUSKAS Tadas,5,138,537,85283,1725,11.564,5.188,23.6897
SCEGAUSKAS Tadas,5,139,533,85817,1725,11.651,5.15,23.838
