zawodnik,pozycja,nr_okrazenia,czas_okr_s,czas_kum_s,dystans_m,predkosc_kmh,tempo_min_km,godzina_biegu
SKROBAŁA Dariusz,10,81,716,52123,1725,8.673,6.918,14.4786
SKROBAŁA Dariusz,10,82,754,52877,1725,8.236,7.285,14.6881
SKROBAŁA Dariusz,10,83,793,53670,1725,7.831,7.662,14.9084
SKROBAŁA Dariusz,10,84,1122,54793,1725,5.535,10.841,15.2204
SKROBAŁA Dariusz,10,85,770,55563,1725,8.065,7.44,15.4343
SKROBAŁA Dariusz,10,86,714,56278,1725,8.697,6.899,15.6328
SKROBAŁA Dariusz,10,87,763,57042,1725,8.139,7.372,15.845
SKROBAŁA Dariusz,10,88,735,57777,1725,8.449,7.101,16.0492
SKROBAŁA Dariusz,10,89,785,58563,1725,7.911,7.585,16.2674
SKROBAŁA Dariusz,10,90,816,59379,1725,7.61,7.884,16.4941
SKROBAŁA Dariusz,10,91,884,60264,1725,7.025,8.541,16.7399
SKROBAŁA Dariusz,10,92,1001,61265,1725,6.204,9.671,17.0181
SKROBAŁA Dariusz,10,93,753,62019,1725,8.247,7.275,17.2275
SKROBAŁA Dariusz,10,94,746,62766,1725,8.324,7.208,17.435
SKROBAŁA Dariusz,10,95,850,63617,1725,7.306,8.213,17.6713
SKROBAŁA Dariusz,10,96,2233,65851,1725,2.781,21.575,18.2918
SKROBAŁA Dariusz,10,97,728,66579,1725,8.53,7.034,18.4942
SKROBAŁA Dariusz,10,98,674,67254,1725,9.214,6.512,18.6816
SKROBAŁA Dariusz,10,99,695,67949,1725,8.935,6.715,18.8748
SKROBAŁA Dariusz,10,100,639,68589,1725,9.718,6.174,19.0525
SKROBAŁA Dariusz,10,101,660,69250,1725,9.409,6.377,19.2361
SKROBAŁA Dariusz,10,102,684,69935,1725,9.079,6.609,19.4263
SKROBAŁA Dariusz,10,103,865,70801,1725,7.179,8.357,19.6668
SKROBAŁA Dariusz,10,104,1020,71821,1725,6.088,9.855,19.9502
SKROBAŁA Dariusz,10,105,1119,72940,1725,5.55,10.812,20.2612
SKROBAŁA Dariusz,10,106,2303,75243,1725,2.696,22.251,20.9009
SKROBAŁA Dariusz,10,107,950,76194,1725,6.537,9.179,21.1649
SKROBAŁA Dariusz,10,108,879,77073,1725,7.065,8.493,21.4092
SKROBAŁA Dariusz,10,109,895,77969,1725,6.939,8.647,21.6581
SKROBAŁA Dariusz,10,110,1073,79043,1725,5.788,10.367,21.9564
SKROBAŁA Dariusz,10,111,847,79891,1725,7.332,8.184,22.1918
SKROBAŁA Dariusz,10,112,822,80713,1725,7.555,7.942,22.4202
SKROBAŁA Dariusz,10,113,810,81523,1725,7.667,7.826,22.6453
SKROBAŁA Dariusz,10,114,819,82343,1725,7.582,7.913,22.873
SKROBAŁA Dariusz,10,115,704,83048,1725,8.821,6.802,23.0688
SKROBAŁA Dariusz,10,116,667,83715,1725,9.31,6.444,23.2543
SKROBAŁA Dariusz,10,117,679,84395,1725,9.146,6.56,23.443
SKROBAŁA Dariusz,10,118,687,85082,1725,9.039,6.638,23.6339
SKROBAŁA Dariusz,10,119,668,85751,1725,9.296,6.454,23.8197
SKROBAŁA Dariusz,10,120,632,86383,1725,9.826,6.106,23.9954
