zawodnik,pozycja,nr_okrazenia,czas_okr_s,czas_kum_s,dystans_m,predkosc_kmh,tempo_min_km,godzina_biegu
NAPIÓRKOWSKI Mariusz,2,72,604,39963,1725,10.281,5.836,11.1008
NAPIÓRKOWSKI Mariusz,2,73,579,40543,1725,10.725,5.594,11.2619
NAPIÓRKOWSKI Mariusz,2,74,555,41098,1725,11.189,5.362,11.4161
NAPIÓRKOWSKI Mariusz,2,75,555,41654,1725,11.189,5.362,11.5705
NAPIÓRKOWSKI Mariusz,2,76,564,42218,1725,11.011,5.449,11.7273
NAPIÓRKOWSKI Mariusz,2,77,559,42778,1725,11.109,5.401,11.8827
NAPIÓRKOWSKI Mariusz,2,78,617,43395,1725,10.065,5.961,12.0542
NAPIÓRKOWSKI Mariusz,2,79,573,43969,1725,10.838,5.536,12.2135
NAPIÓRKOWSKI Mariusz,2,80,544,44514,1725,11.415,5.256,12.3649
NAPIÓRKOWSKI Mariusz,2,81,558,45072,1725,11.129,5.391,12.52
NAPIÓRKOWSKI Mariusz,2,82,546,45618,1725,11.374,5.275,12.6717
NAPIÓRKOWSKI Mariusz,2,83,546,46164,1725,11.374,5.275,12.8234
NAPIÓRKOWSKI Mariusz,2,84,537,46702,1725,11.564,5.188,12.9727
NAPIÓRKOWSKI Mariusz,2,85,535,47237,1725,11.607,5.169,13.1214
NAPIÓRKOWSKI Mariusz,2,86,525,47762,1725,11.829,5.072,13.2673
NAPIÓRKOWSKI Mariusz,2,87,532,48294,1725,11.673,5.14,13.4151
NAPIÓRKOWSKI Mariusz,2,88,543,48838,1725,11.436,5.246,13.566
NAPIÓRKOWSKI Mariusz,2,89,557,49396,1725,11.149,5.382,13.721
NAPIÓRKOWSKI Mariusz,2,90,556,49952,1725,11.169,5.372,13.8755
NAPIÓRKOWSKI Mariusz,2,91,856,50808,1725,7.255,8.271,14.1134
NAPIÓRKOWSKI Mariusz,2,92,528,51337,1725,11.761,5.101,14.2603
NAPIÓRKOWSKI Mariusz,2,93,534,51872,1725,11.629,5.159,14.4089
NAPIÓRKOWSKI Mariusz,2,94,557,52429,1725,11.149,5.382,14.5637
NAPIÓRKOWSKI Mariusz,2,95,536,52965,1725,11.586,5.179,14.7126
NAPIÓRKOWSKI Mariusz,2,96,558,53524,1725,11.129,5.391,14.8677
NAPIÓRKOWSKI Mariusz,2,97,558,54082,1725,11.129,5.391,15.0228
NAPIÓRKOWSKI Mariusz,2,98,553,54636,1725,11.23,5.343,15.1766
NAPIÓRKOWSKI Mariusz,2,99,592,55228,1725,10.49,5.72,15.3411
NAPIÓRKOWSKI Mariusz,2,100,577,55805,1725,10.763,5.575,15.5014
NAPIÓRKOWSKI Mariusz,2,101,565,56370,1725,10.991,5.459,15.6584
NAPIÓRKOWSKI Mariusz,2,102,583,56954,1725,10.652,5.633,15.8204
NAPIÓRKOWSKI Mariusz,2,103,538,57492,1725,11.543,5.198,15.9699
NAPIÓRKOWSKI Mariusz,2,104,593,58085,1725,10.472,5.729,16.1349
NAPIÓRKOWSKI Mariusz,2,105,574,58660,1725,10.819,5.546,16.2946
NAPIÓRKOWSKI Mariusz,2,106,552,59213,1725,11.25,5.333,16.4481
NAPIÓRKOWSKI Mariusz,2,107,595,59808,1725,10.437,5.749,16.6135
NAPIÓRKOWSKI Mariusz,2,108,559,60368,1725,11.109,5.401,16.769
NAPIÓRKOWSKI Mariusz,2,109,560,60929,1725,11.089,5.411,16.9247
NAPIÓRKOWSKI Mariusz,2,110,568,61497,1725,10.933,5.488,17.0825
NAPIÓRKOWSKI Mariusz,2,111,569,62067,1725,10.914,5.498,17.2407
NAPIÓRKOWSKI Mariusz,2,112,574,62641,1725,10.819,5.546,17.4003
NAPIÓRKOWSKI Mariusz,2,113,581,63222,1725,10.688,5.614,17.5617
NAPIÓRKOWSKI Mariusz,2,114,566,63789,1725,10.972,5.469,17.7192
NAPIÓRKOWSKI Mariusz,2,115,605,64395,1725,10.264,5.845,17.8874
NAPIÓRKOWSKI Mariusz,2,116,563,64958,1725,11.03,5.44,18.044
NAPIÓRKOWSKI Mariusz,2,117,574,65532,1725,10.819,5.546,18.2035
NAPIÓRKOWSKI Mariusz,2,118,556,66089,1725,11.169,5.372,18.358
NAPIÓRKOWSKI Mariusz,2,119,571,66661,1725,10.876,5.517,18.5168
NAPIÓRKOWSKI Mariusz,2,120,611,67272,1725,10.164,5.903,18.6867
NAPIÓRKOWSKI Mariusz,2,121,581,67853,1725,10.688,5.614,18.8482
NAPIÓRKOWSKI Mariusz,2,122,604,68458,1725,10.281,5.836,19.016
NAPIÓRKOWSKI Mariusz,2,123,584,69043,1725,10.634,5.643,19.1785
NAPIÓRKOWSKI Mariusz,2,124,627,69670,1725,9.904,6.058,19.3529
NAPIÓRKOWSKI Mariusz,2,125,576,70247,1725,10.781,5.565,19.5132
NAPIÓRKOWSKI Mariusz,2,126,588,70836,1725,10.561,5.681,19.6766
NAPIÓRKOWSKI Mariusz,2,127,621,71457,1725,10.0,6.0,19.8492
NAPIÓRKOWSKI Mariusz,2,128,652,72110,1725,9.525,6.3,20.0306
NAPIÓRKOWSKI Mariusz,2,129,628,72739,1725,9.889,6.068,20.2053
NAPIÓRKOWSKI Mariusz,2,130,592,73332,1725,10.49,5.72,20.3699
NAPIÓRKOWSKI Mariusz,2,131,551,73883,1725,11.27,5.324,20.5231
NAPIÓRKOWSKI Mariusz,2,132,612,74495,1725,10.147,5.913,20.6931
NAPIÓRKOWSKI Mariusz,2,133,670,75166,1725,9.269,6.473,20.8793
NAPIÓRKOWSKI Mariusz,2,134,691,75857,1725,8.987,6.676,21.0713
NAPIÓRKOWSKI Mariusz,2,135,729,76586,1725,8.519,7.043,21.274
NAPIÓRKOWSKI Mariusz,2,136,682,77268,1725,9.106,6.589,21.4634
NAPIÓRKOWSKI Mariusz,2,137,702,77970,1725,8.846,6.783,21.6584
NAPIÓRKOWSKI Mariusz,2,138,714,78685,1725,8.697,6.899,21.8568
NAPIÓRKOWSKI Mariusz,2,139,755,79440,1725,8.225,7.295,22.0666
NAPIÓRKOWSKI Mariusz,2,140,683,80123,1725,9.092,6.599,22.2565
NAPIÓRKOWSKI Mariusz,2,141,691,80815,1725,8.987,6.676,22.4485
NAPIÓRKOWSKI Mariusz,2,142,676,81491,1725,9.186,6.531,22.6364
NAPIÓRKOWSKI Mariusz,2,143,662,82153,1725,9.381,6.396,22.8204
NAPIÓRKOWSKI Mariusz,2,144,671,82825,1725,9.255,6.483,23.007
NAPIÓRKOWSKI Mariusz,2,145,760,83585,1725,8.171,7.343,23.2181
NAPIÓRKOWSKI Mariusz,2,146,796,84382,1725,7.802,7.691,23.4395
NAPIÓRKOWSKI Mariusz,2,147,874,85256,1725,7.105,8.444,23.6823
NAPIÓRKOWSKI Mariusz,2,148,718,85975,1725,8.649,6.937,23.8819
